entity,qno,label,help,name,clabel,type,valdn,flow,crossFlow,crossCheck,lookup,lookup_label,image,dynamic_dropdown
house,1,GPS,,gps,,gps,required,,,,,,,
house,2,House No. (NS- No),,houseNs,,text,"between[1:9999],required",,,,,,,
enumVisit,1,Household Availability,,hhAvailability,hhAvailability,select,required,,,,,,,
household,1,"Now, I would like to ask you few details about your household",,,,heading,required,,,,,,,
household,2,Religion followed in the household,,religion,clabel40,select,required,,,,,,,
household,3,Specify any other religion followed if not specified in previous question,,otherReligion,,text,required,data.religion=='Others-Specify',,,,,,
household,4,Specify the caste of the household,,caste,clabel21,select,required,data.religion=='Hinduism',,,,,,
household,5,Specify any other caste followed if not specified in previous question,,otherCaste,,text,required,data.caste=='Others-Specify',,,,,,
household,6,Is the household benefiting from any Government sponsored scheme?,,benefitGovtScheme,benefitGovtScheme,multiselect,required,,,,,,,
household,7,If any other Government scheme then please specify,,otherGovtScheme,,text,required,data.benefitGovtScheme!='None' && data.benefitGovtScheme=='Others- Specify',,,,,,
household,8,Total Number of members living together in a household,,totalMembers,,text,"between[1:99],required",,,,,,,
member,1,Name of member in the Household,,name,,text,"alpha,minlength[3],required",,,,,,,
member,2,Gender of the member in the Household,,gender,gender,select,required,,,,,,,
member,3,Age of the member in the Household,,age,age,select_text,"between[1:99],required",,,,,,,
member,4,Is head of the household? ,,head,clabel1,select,required,data.age_value>29 && data.age_unit=='Years',headCount,,,,,
householdCommonQs,1,How many rooms are there in your house? (Including kitchen),,roomCount,,text,"between[1:20],required",,,,,,,
householdCommonQs,2,What is the type of house?,"Record by observation of roof, walls and flooring. If all pucca then treat it as pucca, if one or both of them are pucca but other is kutcha then Mixed and if none of these are pucca then kutcha",constructionType,constructionType,select,required,,,,,,,
householdCommonQs,3,Where do you get drinking water from ?,,sourceDrinkingWater,sourceDrinkingWater,select,required,,,,,,,
householdCommonQs,4,What is the main cooking fuel used in your household?,,cookFuel,cookFuel,multiselect,required,,,,,,,
householdCommonQs,5,Where do you do most of your cooking in your household?,,cookingPlace,cookingPlace,select,required,,,,,,,
householdCommonQs,6,What kind of ventilation is there in the kitchen?,,kitchenVentilation,kitchenVentilation,select,required,,,,,,,
householdCommonQs,7,What is the level of smokiness due to cooking?,,levelSmokiness,levelSmokiness,select,required,,,,,,,
householdCommonQs,8,Who cooks in the household most of the time?,"Please specify who does most of the cooking in the household, other members can attend/help in the cooking",cookingPerson,cookingPerson,lookup,required,,,,cookingMember,,,
householdFoodItems,1,What is the quantity of following food items used in the household every month?,,,,heading,,,,,,,,
householdFoodItems,2,Onions (Kgs),,onion,,text,"between[0:99],required",,,,,,,
householdFoodItems,3,Garlic (Gms),,garlic,,text,"between[0:9999],required",,,,,,,
householdFoodItems,4,Turmeric (Gms),,turmeric,,text,"between[0:9999],required",,,,,,,
householdFoodItems,5,What kind of cooking oil is used in the household?,,,,heading,,,,,,,,
householdFoodItems,6,Gingelly Oil (Kgs),,gingellyOil,,text,"between[0:50],required",,,,,,,
householdFoodItems,7,Groundnut Oil (Kgs),,groundnutOil,,text,"between[0:50],required",,,,,,,
householdFoodItems,8,Mustartd Oil (Kgs),,mustartdOil,,text,"between[0:50],required",,,,,,,
householdFoodItems,9,Palm Oil (Kgs),,palmOil,,text,"between[0:50],required",,,,,,,
householdFoodItems,10,Sunflower oil (Kgs),,sunflowerOil,,text,"between[0:50],required",,,,,,,
householdFoodItems,11,Others (Kgs),,others,,text,"between[0:50],required",,,,,,,
hospInf,1,Was any usually residing adult (30-69 years) household member admitted to the hospital during last year?,,hospStatus,clabel1,select,required ,,,,,,,
hospInf,2,"If yes, how many adults were admitted?",,hospCount,,text,"between[1:20],required",data.hospStatus=='Yes',,memberCount,,,,
householdHosp,1,Who was admitted in hospital during last year?,,name,,lookup,required,,,,member,,,
householdHosp,2,Why was he/she get admitted to the hospital?,,reason,,text,"alpha,minlength[3],required",,,,,,,
householdHosp,3,Which hospital he/she get admitted to?,,nameHospital,,text,required,,,,,,,
deathInf,1,Did any usually residing adult household member die since 1 January 2009 till date?,,deathStatus,clabel1,select,required,,,,,,,
deathInf,2,"If yes, then how many?",,deathCount,,text,"between[1:20],required",data.deathStatus=='Yes',,,,,,
householdDeath,1,Name(s) of the deceased?,,name,,text,"alpha,minlength[3],required",,,,,,,
