entity,name,type,key,strategy
user,id,int,primary key,
user,username,text,,
user,password,text,,
user,name,text,,
user,role,text,,
,,,,
team,id,int,primary key,
team,name,text,,
,,,,
teamuser,teamId,int,,
teamuser,userId,int,,
,,,,
userlog,id,int,primary key,auto_increment
userlog,username,text,,
userlog,status,text,,
userlog,time,text,,
userlog,ipaddress,text,,
,,,,
authtoken,id,int,primary key,auto_increment
authtoken,token,text,,
authtoken,time,text,,
authtoken,expires,text,,
authtoken,username,text,,
authtoken,role,text,,
,,,,
datachangelog,id,int,primary key,auto_increment
datachangelog,log,longtext,,
datachangelog,status,text,,
,,,,
filechangelog,id,int,primary key,auto_increment
filechangelog,filename,text,,
filechangelog,filestore,text,,
filechangelog,fileId,text,,
filechangelog,status,text,,
,,,,
area,areaId,int,primary key,
area,name,text,,
area,landmark,text,,
area,pincode,text,,
area,districtId,text,,
,,,,
house,houseId,int,primary key,
house,areaId,int,,
,,,,
household,householdId,int,primary key,
household,houseId,int,,
household,areaId,int,,
,,,,
member,memberId,int,primary key,
member,householdId,int,,
member,houseId,int,,
member,areaId,int,,
,,,,
hcMember,memberId,int,primary key,
hcMember,householdId,int,,
hcMember,user,int,,
,,,,
enumVisit,id,int,primary key,auto_increment
enumVisit,householdId,int,,
enumVisit,status,text,,
enumVisit,time,timestamp,,
,,,,
hcVisit,id,int,primary key,auto_increment
hcVisit,householdId,int,,
hcVisit,status,text,,
hcVisit,time,timestamp,,
,,,,
householdCommonQs,householdId,int,primary key,
householdFoodItems,householdId,int,primary key,
hospInf,householdId,int,primary key,
deathInf,householdId,int,primary key,
householdHosp,id,int,primary key,auto_increment
householdHosp,householdId,int,,
householdDeath,id,int,primary key,auto_increment
householdDeath,householdId,int,,
memberBp1,memberId,int,primary key,
memberBp1,endtime,timestamp,,
memberBp2,memberId,int,primary key,
memberBp2,endtime,timestamp,,
memberTobaccoAlcohol,memberId,int,primary key,
memberTobaccoAlcohol,endtime,timestamp,,
memberPersonalMedicalHistory,memberId,int,primary key,
memberPersonalMedicalHistory,endtime,timestamp,,
memberFamilyMedicalHistory,memberId,int,primary key,
memberFamilyMedicalHistory,endtime,timestamp,,
memberPhysicalActivities,memberId,int,primary key,
memberPhysicalActivities,endtime,timestamp,,
ffqGeneral,memberId,int,primary key,
ffqGeneral,endtime,timestamp,,
ffqBeverages,memberId,int,primary key,
ffqBeverages,endtime,timestamp,,
ffqCereals,memberId,int,primary key,
ffqCereals,endtime,timestamp,,
ffqPulses,memberId,int,primary key,
ffqPulses,endtime,timestamp,,
ffqVeg,memberId,int,primary key,
ffqVeg,endtime,timestamp,,
ffqRaw,memberId,int,primary key,
ffqRaw,endtime,timestamp,,
ffqFruits,memberId,int,primary key,
ffqFruits,endtime,timestamp,,
ffqJuice,memberId,int,primary key,
ffqJuice,endtime,timestamp,,
ffqNonVeg,memberId,int,primary key,
ffqNonVeg,endtime,timestamp,,
ffqSweets,memberId,int,primary key,
ffqSweets,endtime,timestamp,,
ffqSpiceMix,memberId,int,primary key,
ffqSpiceMix,endtime,timestamp,,
ffqSnacks,memberId,int,primary key,
ffqSnacks,endtime,timestamp,,
ffqFoodAdditives,memberId,int,primary key,
ffqFoodAdditives,endtime,timestamp,,
resampling,memberId,int,primary key,
resampling,endtime,timestamp,,
,,,,
outbox,id,int,primary key,auto_increment
outbox,datastore,text,,
outbox,ref,text,,
outbox,refId,text,,
outbox,recipient,int,,
outbox,distList,text,,
outbox,dwnStatus,text,,
,,,,
inbox,id,int,primary key,auto_increment
inbox,datastore,text,,
inbox,ref,text,,
inbox,refId,text,,
inbox,distList,text,,
inbox,distStatus,text,,
inbox,impStatus,text,,
